timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,pitch,yaw,roll,head_drop,drowsy
5.801,True,0.282,0.449,0.494,False,False,-164.8,8.3,-4.7,False,True
5.831,True,0.286,0.449,0.494,False,False,-165.0,7.9,-4.7,False,True
5.861,True,0.287,0.449,0.494,False,False,-164.8,7.7,-4.7,False,True
5.893,True,0.29,0.448,0.494,False,False,-164.7,7.6,-4.7,False,True
5.921,True,0.298,0.449,0.494,False,False,-164.8,7.8,-4.7,False,True
5.953,True,0.297,0.449,0.494,False,False,-164.6,7.6,-4.8,False,True
6.001,True,0.303,0.449,0.494,False,False,-164.6,7.5,-4.7,False,True
6.041,True,0.304,0.449,0.494,False,False,-164.4,7.5,-4.7,False,True
6.071,True,0.305,0.449,0.494,False,False,-164.4,7.4,-4.7,False,True
6.101,True,0.3,0.449,0.494,False,False,-164.2,7.2,-4.7,False,True
6.131,True,0.298,0.449,0.489,False,False,-164.2,7.9,-4.6,False,True
6.163,True,0.298,0.45,0.483,False,False,-164.1,8.0,-4.6,False,True
6.201,True,0.299,0.45,0.478,False,False,-164.0,8.4,-4.6,False,True
6.231,True,0.297,0.451,0.472,False,False,-164.4,8.2,-4.6,False,True
6.261,True,0.296,0.45,0.467,False,False,-164.5,8.0,-4.6,False,True
6.293,True,0.296,0.451,0.461,False,False,-164.6,8.2,-4.5,False,True
6.331,True,0.296,0.45,0.456,False,False,-164.5,7.6,-4.6,False,True
6.362,True,0.293,0.451,0.45,False,False,-164.3,7.9,-4.6,False,True
6.411,True,0.29,0.45,0.45,False,False,-164.1,8.2,-4.5,False,True
6.441,True,0.287,0.45,0.45,False,False,-164.2,7.7,-4.6,False,True
6.472,True,0.293,0.451,0.45,False,False,-164.1,8.2,-4.5,False,True
6.501,True,0.291,0.452,0.45,False,False,-164.0,8.3,-4.4,False,True
6.531,True,0.29,0.449,0.45,False,False,-164.3,8.2,-4.5,False,True
6.561,True,0.293,0.45,0.45,False,False,-164.4,8.6,-4.6,False,True
6.601,True,0.292,0.451,0.45,False,False,-164.3,8.5,-4.6,False,True
6.631,True,0.292,0.451,0.45,False,False,-164.4,8.2,-4.6,False,True
6.661,True,0.289,0.452,0.45,False,False,-164.2,8.2,-4.5,False,True
6.696,True,0.288,0.451,0.45,False,False,-163.9,8.3,-4.5,False,True
6.721,True,0.286,0.452,0.45,False,False,-164.1,9.0,-4.5,False,True
6.761,True,0.282,0.451,0.45,False,False,-164.4,8.5,-4.6,False,True
6.791,True,0.28,0.451,0.45,False,False,-164.2,8.2,-4.6,False,True
6.842,True,0.273,0.45,0.45,False,False,-164.3,8.6,-4.7,False,True
6.871,True,0.279,0.452,0.45,False,False,-164.1,8.0,-4.7,False,True
6.903,True,0.276,0.451,0.45,False,False,-164.2,8.0,-4.7,False,True
6.931,True,0.277,0.451,0.45,False,False,-163.9,7.7,-4.7,False,True
6.961,True,0.277,0.451,0.45,False,False,-164.1,7.5,-4.7,False,True
7.001,True,0.277,0.451,0.45,False,False,-163.9,7.6,-4.6,False,True
7.031,True,0.279,0.451,0.45,False,False,-164.1,7.3,-4.6,False,True
7.061,True,0.282,0.449,0.45,False,False,-164.0,7.3,-4.5,False,True
7.094,True,0.277,0.45,0.45,False,False,-163.9,7.7,-4.6,False,True
7.121,True,0.261,0.451,0.45,False,False,-164.4,7.3,-4.5,False,True
7.161,True,0.265,0.451,0.45,False,False,-164.3,7.0,-4.6,False,True
7.191,True,0.265,0.452,0.45,False,False,-164.3,6.8,-4.7,False,True
7.241,True,0.261,0.45,0.45,False,False,-164.6,6.9,-4.8,False,True
7.274,True,0.261,0.452,0.45,False,False,-164.6,7.2,-4.7,False,True
7.305,True,0.263,0.45,0.45,False,False,-164.4,6.9,-4.7,False,True
7.335,True,0.264,0.449,0.45,False,False,-164.5,7.0,-4.7,False,True
7.369,True,0.261,0.45,0.45,False,False,-164.5,7.0,-4.8,False,True
7.401,True,0.263,0.45,0.45,False,False,-164.6,6.8,-4.7,False,True
7.437,True,0.262,0.45,0.45,False,False,-164.7,7.0,-4.8,False,True
7.466,True,0.261,0.449,0.45,False,False,-164.8,6.9,-4.8,False,True
7.497,True,0.262,0.449,0.45,False,False,-164.7,6.6,-4.8,False,True
7.531,True,0.262,0.449,0.45,False,False,-164.5,6.6,-4.8,False,True
7.561,True,0.263,0.45,0.45,False,False,-164.5,7.0,-4.7,False,True
7.595,True,0.26,0.45,0.45,False,False,-164.8,7.1,-4.8,False,True
7.641,True,0.26,0.449,0.45,False,False,-164.8,7.3,-4.8,False,True
7.671,True,0.261,0.449,0.45,False,False,-164.8,7.3,-4.8,False,True
7.704,True,0.261,0.449,0.444,False,False,-164.7,7.3,-4.8,False,True
7.737,True,0.26,0.448,0.439,False,False,-164.9,7.3,-4.9,False,True
7.763,True,0.261,0.449,0.433,False,False,-164.7,7.5,-4.9,False,True
7.801,True,0.262,0.449,0.428,False,False,-165.1,7.0,-5.0,False,True
7.833,True,0.268,0.448,0.422,False,False,-165.0,6.8,-5.0,False,True
7.861,True,0.29,0.447,0.417,False,False,-165.2,6.7,-5.0,False,True
7.895,True,0.286,0.446,0.411,False,False,-165.1,6.3,-4.9,False,True
7.93,True,0.288,0.445,0.406,False,False,-165.3,6.1,-4.8,False,True
7.961,True,0.296,0.442,0.4,False,False,-165.7,6.6,-4.8,False,True
7.992,True,0.302,0.441,0.394,False,False,-165.7,6.5,-4.8,False,False
8.041,True,0.302,0.441,0.389,False,False,-166.0,6.5,-4.9,False,False
8.074,True,0.302,0.441,0.383,False,False,-166.0,6.7,-4.8,False,False
8.105,True,0.302,0.441,0.378,False,False,-166.0,6.6,-4.9,False,False
8.131,True,0.309,0.442,0.372,False,False,-166.0,6.4,-5.0,False,False
8.163,True,0.314,0.444,0.367,False,False,-165.9,6.7,-5.0,False,False
8.201,True,0.314,0.442,0.361,False,False,-166.4,6.8,-4.9,False,False
8.233,True,0.314,0.441,0.356,False,False,-166.7,6.7,-5.0,False,False
8.266,True,0.313,0.443,0.35,False,False,-167.5,6.7,-5.1,False,False
8.298,True,0.315,0.441,0.344,False,False,-168.6,6.5,-5.0,False,False
8.331,True,0.318,0.441,0.339,False,False,-168.7,6.3,-5.2,False,False
8.361,True,0.326,0.442,0.333,False,False,-168.9,6.4,-5.3,False,False
8.391,True,0.323,0.442,0.328,False,False,-169.8,6.6,-5.6,False,False
8.439,True,0.31,0.442,0.322,False,False,-169.8,7.2,-5.7,False,False
8.471,True,0.308,0.446,0.317,False,False,-169.2,7.3,-5.7,False,False
8.501,True,0.323,0.446,0.311,False,False,-169.1,7.3,-5.9,False,False
8.531,True,0.319,0.444,0.306,False,False,-169.1,7.9,-5.8,False,False
8.565,True,0.314,0.442,0.3,False,False,-169.0,7.7,-5.6,False,False
8.596,True,0.308,0.442,0.294,False,False,-168.8,7.9,-5.5,False,False
8.631,True,0.312,0.441,0.289,False,False,-169.9,7.2,-5.8,False,False
